"assertion_id","report_id","sentence_id","evidence_id","prediction_id","attack_id","validation_status","validation_basis","review_required","checked_for_kg","kg_stage","graph_version","is_benchmark_data"
"gold::AnnoCTR::bosch_0::T1021","report::AnnoCTR::bosch_0","","","","T1021","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_0::T1190","report::AnnoCTR::bosch_0","","","","T1190","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_0::T1195","report::AnnoCTR::bosch_0","","","","T1195","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_0::T1486","report::AnnoCTR::bosch_0","","","","T1486","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_0::T1491","report::AnnoCTR::bosch_0","","","","T1491","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_1::T1105","report::AnnoCTR::bosch_1","","","","T1105","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_1::T1190","report::AnnoCTR::bosch_1","","","","T1190","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_1::T1486","report::AnnoCTR::bosch_1","","","","T1486","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_1::T1497","report::AnnoCTR::bosch_1","","","","T1497","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_1::T1499","report::AnnoCTR::bosch_1","","","","T1499","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_1::T1566","report::AnnoCTR::bosch_1","","","","T1566","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_2::T1105","report::AnnoCTR::bosch_2","","","","T1105","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_2::T1189","report::AnnoCTR::bosch_2","","","","T1189","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_2::T1486","report::AnnoCTR::bosch_2","","","","T1486","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_2::T1496","report::AnnoCTR::bosch_2","","","","T1496","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_2::T1499","report::AnnoCTR::bosch_2","","","","T1499","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_2::T1566","report::AnnoCTR::bosch_2","","","","T1566","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1078","report::AnnoCTR::bosch_3","","","","T1078","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1195","report::AnnoCTR::bosch_3","","","","T1195","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1210","report::AnnoCTR::bosch_3","","","","T1210","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1486","report::AnnoCTR::bosch_3","","","","T1486","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1528","report::AnnoCTR::bosch_3","","","","T1528","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1566","report::AnnoCTR::bosch_3","","","","T1566","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1567","report::AnnoCTR::bosch_3","","","","T1567","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_3::T1589","report::AnnoCTR::bosch_3","","","","T1589","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1003","report::AnnoCTR::bosch_4","","","","T1003","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1021","report::AnnoCTR::bosch_4","","","","T1021","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1046","report::AnnoCTR::bosch_4","","","","T1046","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1053","report::AnnoCTR::bosch_4","","","","T1053","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1059","report::AnnoCTR::bosch_4","","","","T1059","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1068","report::AnnoCTR::bosch_4","","","","T1068","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1078","report::AnnoCTR::bosch_4","","","","T1078","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1087","report::AnnoCTR::bosch_4","","","","T1087","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1110","report::AnnoCTR::bosch_4","","","","T1110","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1135","report::AnnoCTR::bosch_4","","","","T1135","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1189","report::AnnoCTR::bosch_4","","","","T1189","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1190","report::AnnoCTR::bosch_4","","","","T1190","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1195","report::AnnoCTR::bosch_4","","","","T1195","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1210","report::AnnoCTR::bosch_4","","","","T1210","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1482","report::AnnoCTR::bosch_4","","","","T1482","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1486","report::AnnoCTR::bosch_4","","","","T1486","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1562","report::AnnoCTR::bosch_4","","","","T1562","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1567","report::AnnoCTR::bosch_4","","","","T1567","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_4::T1589","report::AnnoCTR::bosch_4","","","","T1589","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_5::T1189","report::AnnoCTR::bosch_5","","","","T1189","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_5::T1190","report::AnnoCTR::bosch_5","","","","T1190","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_5::T1195","report::AnnoCTR::bosch_5","","","","T1195","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_5::T1486","report::AnnoCTR::bosch_5","","","","T1486","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_5::T1566","report::AnnoCTR::bosch_5","","","","T1566","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_6::T1021","report::AnnoCTR::bosch_6","","","","T1021","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_6::T1190","report::AnnoCTR::bosch_6","","","","T1190","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_6::T1486","report::AnnoCTR::bosch_6","","","","T1486","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1001","report::AnnoCTR::bosch_7","","","","T1001","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1027","report::AnnoCTR::bosch_7","","","","T1027","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1041","report::AnnoCTR::bosch_7","","","","T1041","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1055","report::AnnoCTR::bosch_7","","","","T1055","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1057","report::AnnoCTR::bosch_7","","","","T1057","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1059","report::AnnoCTR::bosch_7","","","","T1059","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1110","report::AnnoCTR::bosch_7","","","","T1110","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1114","report::AnnoCTR::bosch_7","","","","T1114","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1189","report::AnnoCTR::bosch_7","","","","T1189","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1218","report::AnnoCTR::bosch_7","","","","T1218","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1566","report::AnnoCTR::bosch_7","","","","T1566","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1573","report::AnnoCTR::bosch_7","","","","T1573","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_7::T1606","report::AnnoCTR::bosch_7","","","","T1606","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_8::T1027","report::AnnoCTR::bosch_8","","","","T1027","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
"gold::AnnoCTR::bosch_8::T1041","report::AnnoCTR::bosch_8","","","","T1041","validated","labeled_benchmark","False","True","initial_benchmark","v2_annoctr","True"
