graph_assertion_id_a,graph_assertion_id_b,setup_a,setup_b,first_seen_version
e5_llama::AnnoCTR::RAG::bosch_0__s0::T1195,gteqwen_llama::AnnoCTR::RAG::bosch_0__s0::T1195,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s30::T1583,e5_mistral::AnnoCTR::RAG::bosch_0__s30::T1583,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s32::T1589,e5_mistral::AnnoCTR::RAG::bosch_0__s32::T1589,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s33::T1486,gteqwen_llama::AnnoCTR::RAG::bosch_0__s33::T1486,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_0__s37::T1190,gteqwen_llama::AnnoCTR::RAG::bosch_0__s37::T1190,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s20::T1571,e5_mistral::AnnoCTR::RAG::bosch_10__s20::T1571,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s20::T1571,gteqwen_llama::AnnoCTR::RAG::bosch_10__s20::T1571,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s20::T1571,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s20::T1571,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_10__s20::T1571,gteqwen_llama::AnnoCTR::RAG::bosch_10__s20::T1571,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_10__s20::T1571,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s20::T1571,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_10__s20::T1571,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s20::T1571,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1059,e5_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_10__s3::T1059,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,e5_llama,gteqwen_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s3::T1059,e5_llama,gteqwen_phi35,v6.0
e5_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_llama::AnnoCTR::RAG::bosch_10__s3::T1059,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,e5_mistral,gteqwen_mistral,v3.0
e5_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s3::T1059,e5_mistral,gteqwen_phi35,v6.0
gteqwen_llama::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_llama,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_llama,gteqwen_phi35,v6.0
gteqwen_mistral::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s3::T1059,gteqwen_mistral,gteqwen_phi35,v6.0
e5_llama::AnnoCTR::RAG::bosch_10__s3::T1189,e5_mistral::AnnoCTR::RAG::bosch_10__s3::T1189,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s4::T1105,e5_mistral::AnnoCTR::RAG::bosch_10__s4::T1105,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s7::T1055,e5_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_llama::AnnoCTR::RAG::bosch_10__s7::T1055,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,e5_llama,gteqwen_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s7::T1055,e5_llama,gteqwen_phi35,v6.0
e5_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_llama::AnnoCTR::RAG::bosch_10__s7::T1055,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,e5_mistral,gteqwen_mistral,v3.0
e5_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s7::T1055,e5_mistral,gteqwen_phi35,v6.0
gteqwen_llama::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_llama,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_llama,gteqwen_phi35,v6.0
gteqwen_mistral::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_phi35::AnnoCTR::RAG::bosch_10__s7::T1055,gteqwen_mistral,gteqwen_phi35,v6.0
e5_llama::AnnoCTR::RAG::bosch_10__s9::T1608,e5_mistral::AnnoCTR::RAG::bosch_10__s9::T1608,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s13::T1486,e5_phi35::AnnoCTR::RAG::bosch_11__s13::T1486,e5_llama,e5_phi35,v5.0
e5_llama::AnnoCTR::RAG::bosch_11__s13::T1486,gteqwen_llama::AnnoCTR::RAG::bosch_11__s13::T1486,e5_llama,gteqwen_llama,v4.0
e5_phi35::AnnoCTR::RAG::bosch_11__s13::T1486,gteqwen_llama::AnnoCTR::RAG::bosch_11__s13::T1486,e5_phi35,gteqwen_llama,v5.0
e5_llama::AnnoCTR::RAG::bosch_11__s16::T1573,e5_mistral::AnnoCTR::RAG::bosch_11__s16::T1573,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s16::T1573,gteqwen_llama::AnnoCTR::RAG::bosch_11__s16::T1573,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s16::T1573,gteqwen_mistral::AnnoCTR::RAG::bosch_11__s16::T1573,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_11__s16::T1573,gteqwen_llama::AnnoCTR::RAG::bosch_11__s16::T1573,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_11__s16::T1573,gteqwen_mistral::AnnoCTR::RAG::bosch_11__s16::T1573,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_11__s16::T1573,gteqwen_mistral::AnnoCTR::RAG::bosch_11__s16::T1573,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_11__s21::T1486,e5_mistral::AnnoCTR::RAG::bosch_11__s21::T1486,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s21::T1486,gteqwen_llama::AnnoCTR::RAG::bosch_11__s21::T1486,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s21::T1486,gteqwen_mistral::AnnoCTR::RAG::bosch_11__s21::T1486,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_11__s21::T1486,gteqwen_llama::AnnoCTR::RAG::bosch_11__s21::T1486,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_11__s21::T1486,gteqwen_mistral::AnnoCTR::RAG::bosch_11__s21::T1486,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_11__s21::T1486,gteqwen_mistral::AnnoCTR::RAG::bosch_11__s21::T1486,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_11__s4::T1083,e5_mistral::AnnoCTR::RAG::bosch_11__s4::T1083,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s5::T1027,e5_mistral::AnnoCTR::RAG::bosch_11__s5::T1027,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_11__s7::T1497,e5_mistral::AnnoCTR::RAG::bosch_11__s7::T1497,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s10::T1106,e5_mistral::AnnoCTR::RAG::bosch_12__s10::T1106,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s10::T1106,gteqwen_llama::AnnoCTR::RAG::bosch_12__s10::T1106,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s10::T1106,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s10::T1106,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_12__s10::T1106,gteqwen_llama::AnnoCTR::RAG::bosch_12__s10::T1106,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_12__s10::T1106,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s10::T1106,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_12__s10::T1106,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s10::T1106,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_12__s17::T1620,e5_mistral::AnnoCTR::RAG::bosch_12__s17::T1620,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s17::T1620,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s17::T1620,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_12__s17::T1620,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s17::T1620,e5_mistral,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_12__s19::T1573,e5_mistral::AnnoCTR::RAG::bosch_12__s19::T1573,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s19::T1573,gteqwen_llama::AnnoCTR::RAG::bosch_12__s19::T1573,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s19::T1573,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s19::T1573,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_12__s19::T1573,gteqwen_llama::AnnoCTR::RAG::bosch_12__s19::T1573,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_12__s19::T1573,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s19::T1573,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_12__s19::T1573,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s19::T1573,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_12__s20::T1140,e5_mistral::AnnoCTR::RAG::bosch_12__s20::T1140,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s20::T1140,gteqwen_llama::AnnoCTR::RAG::bosch_12__s20::T1140,e5_llama,gteqwen_llama,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s20::T1140,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s20::T1140,e5_llama,gteqwen_mistral,v4.0
e5_mistral::AnnoCTR::RAG::bosch_12__s20::T1140,gteqwen_llama::AnnoCTR::RAG::bosch_12__s20::T1140,e5_mistral,gteqwen_llama,v2.0
e5_mistral::AnnoCTR::RAG::bosch_12__s20::T1140,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s20::T1140,e5_mistral,gteqwen_mistral,v3.0
gteqwen_llama::AnnoCTR::RAG::bosch_12__s20::T1140,gteqwen_mistral::AnnoCTR::RAG::bosch_12__s20::T1140,gteqwen_llama,gteqwen_mistral,v3.0
e5_llama::AnnoCTR::RAG::bosch_12__s27::T1055,e5_mistral::AnnoCTR::RAG::bosch_12__s27::T1055,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s33::T1105,e5_mistral::AnnoCTR::RAG::bosch_12__s33::T1105,e5_llama,e5_mistral,v4.0
e5_llama::AnnoCTR::RAG::bosch_12__s6::T1203,e5_phi35::AnnoCTR::RAG::bosch_12__s6::T1203,e5_llama,e5_phi35,v5.0
