dataset,doc_id,sent_idx,sentence,sentence_id,first_seen_version
AnnoCTR,bosch_0,0,"How cybercriminals create turbulence for the transportation industry Jul 14, 2021 When you break down how transportation companies actually work, you can find yourself looking at nothing but supply chains",bosch_0__s0,v1.0
AnnoCTR,bosch_0,1,"From moving people or goods from one place to another, keeping track of the vehicles that are transporting those people or goods, the third parties that are responsible for the maintenance and operations of those vehicles, along with a list of other business-critical functions, it’s easy to see how these companies would need to lean heavily on internet-connected technology in order to be successful",bosch_0__s1,v1.0
AnnoCTR,bosch_0,2,"However, since these companies are so reliant on the internet, they present a juicy target for the cybercrime underground",bosch_0__s2,v1.0
AnnoCTR,bosch_0,3,"Transportation companies are constantly in the discussions on criminal forums, with nefarious actors attempting (and some succeeding) to attack companies’ infrastructure along their supply chains for their own illegal gains",bosch_0__s3,v1.0
AnnoCTR,bosch_0,4,Below are just some of the examples Intel 471 has observed when it comes to criminals going after transportation companies,bosch_0__s4,v1.0
AnnoCTR,bosch_0,5,### Access to Networks Intel 471 has [long tracked criminals](https://intel471.com/blog/ransomware-attack-access-merchants-infostealer-escrow-service) who specialize in selling access to compromised systems or stolen information,bosch_0__s5,v1.0
AnnoCTR,bosch_0,6,Some of those we have tracked have used their ability to target transportation companies as a way to stand out in the cybercrime underground,bosch_0__s6,v1.0
AnnoCTR,bosch_0,7,"Here are some of the instances we have observed: * In November 2020, an Iranian-based actor advertised unauthorized access to a system belonging to an Iranian-based airline",bosch_0__s7,v1.0
AnnoCTR,bosch_0,8,"The actor shared a demonstration video which looked to be from an internal employee portal, which allowed people to access employee account numbers, national codes, passwords, payments, phone numbers, usernames and more",bosch_0__s8,v1.0
AnnoCTR,bosch_0,9,"The advertisement was shared on a popular Telegram channel dedicated to cybercrime, with over 19,000 members",bosch_0__s9,v1.0
AnnoCTR,bosch_0,10,"* In January 2021, Intel 471 observed a well-known cybercriminal selling network access to a number of companies they allegedly pulled from malware logs",bosch_0__s10,v1.0
AnnoCTR,bosch_0,11,"Among the advertised access was a Citrix Gateway believed to be associated with a large, multinational aviation company",bosch_0__s11,v1.0
